,Hotel_Name,City_Name,country_name,Rating,Price/Night,Amenities,Description,Review1,Review2
61,Sayaji Raipur,raipur,India,4.5,5689,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Banquet hall']","GE Road, Behind Magneto Mall ,Raipur, Chhattisgarh - 492001","Very Good hospitality as Sayaji is known for , staff members are courteous, polite and helpful. Location is very nice and close to airport, just behind the Magneto mall.
Overall nice experience, one of the top hotels in Raipur.
keep it up.
Well maintained rooms, with good work Station in the room. Primarily located and helpful staff.","Hotel is nice and very close to the Golden temple. I’ll stay again here because I got it in good price as it was close to the temple , breakfast options are less but the quantity and quality is good. Food here is really tasty. Staff is good they help you in all the ways. Rooms are clean and everything works quite well. Only thing is that there are no proper windows because of which no ventilation. Rest everything is above average"
62,Capital O 4155 Hotel The Sudesh,raipur,India,4.4,2022,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Banquet hall']","Railway station Chowk,Gudhiyari Road, Raipur - 492001","walking distance from Railway station..comfortable stay.. food quality is good
spacious and clean room..","The hotel and the full staff including breakfast staff and the food is simply superb. Best place to stay. After whole day work when you return, it never seems that you are out anywhere. It's very homely. Hotel sudesh is best place to stay and it's very near to railway station too. I always prefer to stay here only. Hats off to Hotel Sudesh."
63,Hotel Sheetal international,raipur,India,3.5,1326,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity']","Vip Road,Front of Niranjan Dharamshala,Raipur - 492001","I like this deal in Raipur. Hotel Sheetal International is just at the entrance of Raipur City from Kolkata-Nagpur NH on the VIP Road & on the way to New Raipur Airport. Very clean, comfortable & peaceful stay. Their staff are also very nice & cooperative. I haven't food there seems costly. For this stay, I would like to thank GOIBIBO.
Safe, calm & clean, so good for family stay. Also have good parking area for vehicle you drove to there.",good hotel within budget. Location was peaceful. Hotel periphery was maintained. Like behavior of hotel staff.
64,Abhash vaibhav nivas,raipur,India,3.6,500,"['Power backup', 'Parking Facility', 'Laundry Service', 'Dining']","Gv 37 Ganpati vihar, ring road no.1 near PSCT board kushalpur chowk,Raipur - 492001",good homestay and staf behaviour also good. and room are clean .,"The experience was really good. Location wise it was ok, but a little bit difficult to reach. The owner was available there to manage the services. Rooms were good. It was a safe place to stay."
65,Agarwal Guest House,raipur,India,4.5,608,"['Sanitizers', 'Disinfection', 'Sanitizers installed', 'Parking Facility']","Sector 27, Naya Raipur - 492101","Nice , spacious and very clean. All amenities are available, staff is very polite.Overall Great experience.",Review not found
66,OYO 9856 Hotel MP Inn,raipur,India,4,1976,"['Air Conditioning', 'Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service']","543, Near Nantional Gagarge, GE - Tatibandh Road, Raipur - 492001",Everything is good here. Rungta college is around 4.5 km from here. It has a pure veg restaurant with almost all varieties available. Rooms are spacious with neat and clean washrooms.,"The hotel is on the highway. The rooms are excellent and nicely maintained. The hotel have their own restaurant too. Food is simply fantastic.
The only problem is room service. We had to remind several times for it. Nobody picks up the room service.
The welcome was very warm by the owner of the hotel. Very courteous."
67,Hotel Sunil Inn,raipur,India,4.2,1073,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Air Conditioning']","B.P.N 315/3, Near Hotel Satkar, Narmada Para, Raipur, 492001",Location is very near to Raipur railway. Room is neat and tidy. Food is good. service is also very good. overall it's a good place to stay.,"good property at prime location.
early checkin is permitted subject to availability..
good cooperative staff."
68,ARIENA The Boutique Hotel,raipur,India,4.5,2471,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity']","608/3,Infront Oswal Petrol Pump,Near Aishwarya Residency,Near Magneto Mall, Telibandha,Raipur (C.G) - 492001","good service
tasty food
great amenities
nice experience
location is good
overall my experience is excellent",Nice Ambience.fantastic Cleanliness. Good Food Excellent service all in all Superb Stay
69,Hotel Venkatesh International,raipur,India,4.3,2214,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity']","Great Eastern RD, Phool Chowk Main Rd, Nayapara, Raipur, Chhattisgarh - 492001","Very good hotel, Nice food and staff too. Supportive staff. Good room service, Near to Railway station. suggest for stay.","h
Hotel is good. Room is big and good interior. Room Service is Good. Hotel Staff is Good and very helpful. Food is Good. it's Family friendly Hotel you can stay with family. mid in the market."
70,Hotel Grand Rajputana,raipur,India,4.4,1934,"['Sanitizers installed', 'Parking Facility', 'Air Conditioning', 'Hospital in the vicinity']","Hotel Grand Rajputana, Station Road, Telghani Naka Chowk, Raipur cg492001",The Hotel is conveniently located beside the Raipur Railway Junction and close to the city although a little far from the Airport. The Hotel is good with all amenities and a good restaurant. I would especially like to mention the lady in charge of the restaurant who took good care and showed great gesture and hospitality while we were there. The food is equally good and has a lot of items to select from the menu. We booked rooms for two separate yet consecutive stays here. The first room that wa ...more,The Hotel is conveniently located beside the Raipur Railway Junction and close to the city although a little far from the Airport. The Hotel is good with all amenities and a good restaurant. I would especially like to mention the lady in charge of the restaurant who took good care and showed great gesture and hospitality while we were there. The food is equally good and has a lot of items to select from the menu. We booked rooms for two separate yet consecutive stays here. The first room that wa ...more
71,Hotel The Golden Oak,raipur,India,4.1,1575,"['Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity', 'Banquet hall']","M.G. Road, J.B. Mall, Near Guru Nanak Chowk Cont:, Raipur - 492001","it is a good hotel with a prime location near by market as well as railway station
it is a clean and very good comfortable pleasent hotel staff is fantastic with awesome food",The hotel golden oak is near by main market place. Easy to locate. Pleasant stay and very nice rooms. Love to stay with family. Food is good. Room service is also good.
72,Club Paraiso,raipur,India,4.4,2058,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity']","Club Paraiso, Maruti Lifestyle , Near AIIMS, Kota Road , Raipur - 492001",Very Nice property to stay. It offers complete solution to Guest in terms of Fantastic Hospitality. Have very good Indoor as well as Outdoor Game Multiple options. Staff is very Polite and Helpful. Food is good. Rooms are Big and Spacious. It's amazing experience.,"very nice stay with specious room with great location, good service, good food.."
73,Hotel Mahendra,raipur,India,4.2,1405,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity']","Opp. Madina Building, Beside Garcha Complex, Jail Road, Raipur - 492001","staff are better than Celebration and Le Roi hoteles. value for money unlikely other two named hotels.
food is good
room was ok and first room was not good so it was changed so no issue .
morning breakfast is good n biryani was superb . Girish
room was ok and first room was not good so it was changed so no issue .
morning breakfast was good n biryani was superb . Girish",nice rooms and good staff it was good experience to stay in mahendra
